label	stage	config_id	wall_clock_s	start_iso	end_iso	vllm_base_url	exit_code
baseline_1	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	140	2026-06-18T17:28:51Z	2026-06-18T17:31:11Z	http://dgx-llm-1:8003/v1	0
baseline_1	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	299	2026-06-18T17:31:11Z	2026-06-18T17:36:10Z	http://dgx-llm-1:8003/v1	0
baseline_1	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	292	2026-06-18T17:36:10Z	2026-06-18T17:41:02Z	http://dgx-llm-1:8003/v1	0
baseline_2	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	137	2026-06-18T17:41:21Z	2026-06-18T17:43:38Z	http://dgx-llm-1:8003/v1	0
baseline_2	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	307	2026-06-18T17:43:38Z	2026-06-18T17:48:45Z	http://dgx-llm-1:8003/v1	0
baseline_2	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	280	2026-06-18T17:48:45Z	2026-06-18T17:53:25Z	http://dgx-llm-1:8003/v1	0
cell_a_mem_util_085	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	146	2026-06-18T18:01:32Z	2026-06-18T18:03:58Z	http://dgx-llm-1:8003/v1	0
cell_a_mem_util_085	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	308	2026-06-18T18:03:58Z	2026-06-18T18:09:06Z	http://dgx-llm-1:8003/v1	0
cell_a_mem_util_085	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	271	2026-06-18T18:09:06Z	2026-06-18T18:13:37Z	http://dgx-llm-1:8003/v1	0
cell_b_max_num_seqs_4	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	146	2026-06-18T18:21:48Z	2026-06-18T18:24:14Z	http://dgx-llm-1:8003/v1	0
cell_b_max_num_seqs_4	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	320	2026-06-18T18:24:14Z	2026-06-18T18:29:34Z	http://dgx-llm-1:8003/v1	0
cell_b_max_num_seqs_4	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	286	2026-06-18T18:29:34Z	2026-06-18T18:34:20Z	http://dgx-llm-1:8003/v1	0
cell_c_max_model_len_131k	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	152	2026-06-18T18:43:10Z	2026-06-18T18:45:42Z	http://dgx-llm-1:8003/v1	0
cell_c_max_model_len_131k	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	327	2026-06-18T18:45:42Z	2026-06-18T18:51:09Z	http://dgx-llm-1:8003/v1	0
cell_c_max_model_len_131k	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	270	2026-06-18T18:51:09Z	2026-06-18T18:55:39Z	http://dgx-llm-1:8003/v1	0
cell_d_aggressive_warmup	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	148	2026-06-18T19:05:01Z	2026-06-18T19:07:29Z	http://dgx-llm-1:8003/v1	0
cell_d_aggressive_warmup	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	319	2026-06-18T19:07:29Z	2026-06-18T19:12:48Z	http://dgx-llm-1:8003/v1	0
cell_d_aggressive_warmup	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	299	2026-06-18T19:12:48Z	2026-06-18T19:17:47Z	http://dgx-llm-1:8003/v1	0
cell_f_qwen3_30b_a3b_nvfp4	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_paragraph_round3_v1	72	2026-06-18T21:23:34Z	2026-06-18T21:24:46Z	http://dgx-llm-1:8003/v1	0
cell_f_qwen3_30b_a3b_nvfp4	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_grounded_insights_round3_v1	170	2026-06-18T21:24:46Z	2026-06-18T21:27:36Z	http://dgx-llm-1:8003/v1	0
cell_f_qwen3_30b_a3b_nvfp4	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_dev_knowledge_graph_round3_v1	138	2026-06-18T21:27:36Z	2026-06-18T21:29:54Z	http://dgx-llm-1:8003/v1	0
cell_f_nvfp4_benchmark_v2_heldout	summary	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_benchmark_v2_paragraph_round3_held_out_v1	43	2026-06-19T06:23:11Z	2026-06-19T06:23:54Z	http://dgx-llm-1:8003/v1	0
cell_f_nvfp4_benchmark_v2_heldout	gi	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_benchmark_v2_grounded_insights_round3_held_out_v1	94	2026-06-19T06:23:54Z	2026-06-19T06:25:28Z	http://dgx-llm-1:8003/v1	0
cell_f_nvfp4_benchmark_v2_heldout	kg	autoresearch_prompt_vllm_qwen3_30b_a3b_instruct_2507_benchmark_v2_knowledge_graph_round3_held_out_v1	76	2026-06-19T06:25:28Z	2026-06-19T06:26:44Z	http://dgx-llm-1:8003/v1	0
